http://mediaphoto.mnhn.fr/media/1409919148878buSMPCZbjgGrZVYp,"MNHN.34.Non type.EP1017.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/1409919145173MVOxHHuEAMe11Zw4,"MNHN.35.Non type.EP1017.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/14099165236397czGLA3h4Pf8EBGf,"MNHN.36.Non type.EP1017.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/14099191516443Hyggylb7S8ChWzd,"MNHN.37.Non type.EP1018.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/1409909684067fvM5B0Fjo2afsbvY,"MNHN.38.Non type.EP1018.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/1409916526270YuAWc6wOW4bEZ6dV,"MNHN.39.Non type.EP1018.Perisphaerus glomeriformis Lucas, 1862"
http://mediaphoto.mnhn.fr/media/1409919152878qi4XXOBlWk47qjEP,"MNHN.40.Non type.EP1019.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/1409909686099Q1GIAX6G4hNEE1Wf,"MNHN.41.Non type.EP1019.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/1409916529049tlZ9v6dE9sTDUJe0,"MNHN.42.Non type.EP1019.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/140991915571767cGd87DT6NKJ9sl,"MNHN.43.Non type.EP1020.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/1409916530761IytLmrw3HhfuMBLy,"MNHN.44.Non type.EP1020.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/14099096877108waNYYUM6TzlU05o,"MNHN.45.Non type.EP1020.Cyrtotria angustissima (Chopard, 1958)"
http://mediaphoto.mnhn.fr/media/14099165320732lTaclYY9JMh01lm,"MNHN.46.Non type.EP1021.Cyrtotria gracilis (Burmeister, 1838)"
http://mediaphoto.mnhn.fr/media/14099096889598IcWk9hPzum7fS2j,"MNHN.47.Non type.EP1021.Cyrtotria gracilis (Burmeister, 1838)"
http://mediaphoto.mnhn.fr/media/1409919157740b7lTLxDzouxMG91r,"MNHN.48.Non type.EP1021.Cyrtotria gracilis (Burmeister, 1838)"
http://mediaphoto.mnhn.fr/media/1409916533769EADcdBprLrEMYQsl,"MNHN.49.Non type.EP1022.Cyrtotria pusilla Rehn, 1937"
http://mediaphoto.mnhn.fr/media/1409919159414LR72J4q4ANGMRln4,"MNHN.50.Non type.EP1022.Cyrtotria pusilla Rehn, 1937"
http://mediaphoto.mnhn.fr/media/1409909690477049xgz2XGuDC4qg6,"MNHN.51.Non type.EP1022.Cyrtotria pusilla Rehn, 1937"
